From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station,AQI,AQI_Category
21-10-2021 00:00,22-10-2021 00:00,40.17,0.74,16.11,13.91,103.79,48.51,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",102.52666666666667,Moderate
22-10-2021 00:00,23-10-2021 00:00,41.08,0.63,16.05,13.71,85.59,42.38,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",85.59,Satisfactory
23-10-2021 00:00,24-10-2021 00:00,39.72,0.63,37.26,17.47,98.01,45.35,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",98.01,Satisfactory
24-10-2021 00:00,25-10-2021 00:00,37.33,0.54,11.56,8.69,46.1,22.13,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",46.1,Good
25-10-2021 00:00,26-10-2021 00:00,41.7,0.6,15.92,11.9,66.36,30.83,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",66.36,Satisfactory
26-10-2021 00:00,27-10-2021 00:00,35.88,0.57,16.63,16.01,107.98,46.26,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",105.32000000000001,Moderate
27-10-2021 00:00,28-10-2021 00:00,39.0,0.54,14.98,16.26,108.79,50.55,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",105.86,Moderate
28-10-2021 00:00,29-10-2021 00:00,35.4,0.71,12.27,15.81,103.43,57.12,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",102.28666666666668,Moderate
29-10-2021 00:00,30-10-2021 00:00,30.9,0.66,13.24,10.99,60.14,39.6,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",66.0,Satisfactory
30-10-2021 00:00,31-10-2021 00:00,18.26,0.57,13.28,13.51,32.52,12.64,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",32.52,Good
31-10-2021 00:00,01-11-2021 00:00,21.54,0.53,16.88,11.4,27.87,9.8,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",27.87,Good
01-11-2021 00:00,02-11-2021 00:00,20.06,0.49,12.25,11.06,27.03,13.37,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",27.03,Good
02-11-2021 00:00,03-11-2021 00:00,16.49,0.56,11.3,10.09,19.32,8.55,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.000000000000004,Good
03-11-2021 00:00,04-11-2021 00:00,25.08,0.56,11.04,11.2,25.97,10.02,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",28.000000000000004,Good
04-11-2021 00:00,05-11-2021 00:00,23.75,0.46,10.14,9.1,39.2,27.48,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",45.800000000000004,Good
05-11-2021 00:00,06-11-2021 00:00,37.47,0.53,13.28,8.81,48.14,30.61,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",51.016666666666666,Satisfactory
06-11-2021 00:00,07-11-2021 00:00,45.04,0.6,13.26,10.8,93.76,61.89,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",106.3,Moderate
07-11-2021 00:00,08-11-2021 00:00,46.9,0.74,16.46,11.5,118.46,80.45,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",168.16666666666669,Moderate
08-11-2021 00:00,09-11-2021 00:00,50.87,0.66,20.27,14.27,106.27,64.04,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",113.46666666666668,Moderate
09-11-2021 00:00,10-11-2021 00:00,39.27,0.71,18.5,19.33,111.88,60.56,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",107.92,Moderate
10-11-2021 00:00,11-11-2021 00:00,31.47,0.88,20.54,25.7,125.71,66.11,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",120.36666666666667,Moderate
11-11-2021 00:00,12-11-2021 00:00,25.09,0.78,13.01,13.96,86.67,52.98,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",88.3,Satisfactory
12-11-2021 00:00,13-11-2021 00:00,10.98,0.53,11.6,7.53,11.81,3.5,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.5,Good
13-11-2021 00:00,14-11-2021 00:00,12.3,0.47,10.3,9.16,13.94,4.65,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",23.5,Good
14-11-2021 00:00,15-11-2021 00:00,12.57,0.51,10.17,8.18,12.41,2.48,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.5,Good
15-11-2021 00:00,16-11-2021 00:00,10.58,0.45,11.79,8.47,17.91,8.24,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",22.5,Good
16-11-2021 00:00,17-11-2021 00:00,12.63,0.51,11.33,8.2,21.63,8.82,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",25.5,Good
17-11-2021 00:00,18-11-2021 00:00,25.78,0.47,10.78,8.83,35.54,19.02,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",35.54,Good
